index,dataset,seed,arm,accuracy,macro_f1,balanced_accuracy,log_loss,rescues,harms,net_rescue,intervention_rate,beacon_lock_rate,beacon_quality_mean,vmax,a0_thrust,brake_start
105,wine,89,adaptive_entry_combi_anchor,1.0,1.0,1.0,0.1151233259803966,0,0,0,0.0,0.8055555555555556,0.6808858395863401,0.2,0.0,0.1
106,wine,89,laser_targeting_lens,1.0,1.0,1.0,0.110581022030372,0,0,0,0.0,0.8055555555555556,0.6808858395863401,0.2,0.0,0.1
107,wine,89,homing_vmax_acceleration,1.0,1.0,1.0,0.1146522561237141,0,0,0,0.0,0.8055555555555556,0.6808858395863401,0.2,0.0,0.1
108,wine,89,a0_maintenance_thrust,1.0,1.0,1.0,0.1146522561237141,0,0,0,0.0,0.8055555555555556,0.6808858395863401,0.2,0.0,0.1
109,wine,89,dynamic_precision_deceleration,1.0,1.0,1.0,0.1128841248834927,0,0,0,0.0,0.8055555555555556,0.6808858395863401,0.2,0.0,0.1
110,wine,89,terminal_micro_guidance,1.0,1.0,1.0,0.1128660367099302,0,0,0,0.0,0.8055555555555556,0.6808858395863401,0.2,0.0,0.1
111,wine,89,full_laser_homing_beacon_conduit,1.0,1.0,1.0,0.1128660367099302,0,0,0,0.0,0.8055555555555556,0.6808858395863401,0.2,0.0,0.1
112,wine,101,adaptive_entry_combi_anchor,1.0,1.0,1.0,0.0911085603034184,0,0,0,0.0,0.9166666666666666,0.7440138531506445,0.2,0.0,0.1
113,wine,101,laser_targeting_lens,1.0,1.0,1.0,0.0885252418821224,0,0,0,0.0,0.9166666666666666,0.7440138531506445,0.2,0.0,0.1
114,wine,101,homing_vmax_acceleration,1.0,1.0,1.0,0.0905934371865967,0,0,0,0.0,0.9166666666666666,0.7440138531506445,0.2,0.0,0.1
115,wine,101,a0_maintenance_thrust,1.0,1.0,1.0,0.0905934371865967,0,0,0,0.0,0.9166666666666666,0.7440138531506445,0.2,0.0,0.1
116,wine,101,dynamic_precision_deceleration,1.0,1.0,1.0,0.0887741498254176,0,0,0,0.0,0.9166666666666666,0.7440138531506445,0.2,0.0,0.1
117,wine,101,terminal_micro_guidance,1.0,1.0,1.0,0.0887353661252425,0,0,0,0.0,0.9166666666666666,0.7440138531506445,0.2,0.0,0.1
118,wine,101,full_laser_homing_beacon_conduit,1.0,1.0,1.0,0.0885730005026816,0,0,0,0.0,0.9166666666666666,0.7440138531506445,0.2,0.0,0.1
